"Word","Part_of_Speech","Etymology","Definition","Examples_and_Notes","Source_Page"
"Bhajjo","n.m.","","See Bhádo","-re, adv. In August","14"
"Bhajṇu","v.t. re.","H. bhajná","To preserve, to keep in memory","","14"
"Bháṇu","v.t. re.","","To deny, to disagree, to refuse","f. -í, pl. -é","14"
"Bhájí","n.f.","","Vegetable","","14"
"Bhalá or -ú","adj.","","Good","m.; f. -í, pl. -é","14"
"Bhálá","n.m.","H. bhálá","A spear","pl. -e","14"
"Bhaláwá","n.m.","H. bhiláwá","A medicinal tree, and its fruit","","14"
"Bhalk","n.f.","","Morning, daybreak","-é, At daybreak","14"
"Bhallá","n.m.","","A kind of cake made of pulse flour","pl. -e","14"
"Bhallí","n.f.","","A kind of fish","","14"
"Bhalsṇu","v.i. re.","","To recover from illness, to be restored to health","","14"
"Bhálṇu","v.t. re.","","To keep in sight, to observe, to witness","","14"
"Bhálú","n.m.","","One who keeps anything in sight","","14"
"Bhámbú","n.m.","","See Banáí","","14"
"Bháň","n.m. pl.","","Small coins","","15"
"Bháňḍá or -u","n.m.","","A brass, copper or iron vessel","pl. -é","15"
"Bháňḍe-bábar-hoṇu","v.i. ir.","","To be in menses","","15"
"Bháňḍṇu","v.t. re.","","To call ill names, to abuse","f. -í, pl. -é","15"
"Bháňkhrí","n.f.","","Mocking bird","","15"
"Bháň-ṇu","v.t. re.","","To break","f. -í, pl. -é","15"
"Bháňju or -á","n.m.","","Sister's son; nephew","f. -í, Sister's daughter, niece; pl. -é","15"
"Bháňjí","n.f.","","Injury","-mární, v.a. re. To injure","15"
"Bháňg","n.f.","","The hemp plant, or leaves of smoking hemp","","15"
"Bhaňgoļú","n.m. pl.","","Hemp-seed","","15"
"Bhaṇoí","n.m.","H. bahnoí","Sister's husband","","15"
"Bháoj","n.f.","","See Bhábi","","15"
"Bháṛ","n.m.","","A seed measure upon which was founded the ancient unit of land (Kullu)","","15"
"Bhárá","n.m.","","(1) Hire, rent. (2) To give some corn to a calf of a cow or buffalo at milking time.","","15"
"Bhárá","n.m.","S. Bhára = weight","A load, luggage","","15"
"Bhará or -u","adj.","","Full, filled up","m.; f. -í, pl. -é","15"
"Bhárá","n.m.","","Fare, rent","-deṇá, v.i. ir. To pay the fare","15"
"Bhárí","adj.","H. bhárí","Heavy","","15"
"Bháran","n.m.","","A tax levied at two annas per rupee (Kullu)","","15"
"Bharṇu","v.t. re.","","(1) To pay. (2) To fill up.","","15"
"Bhart","n.m.","","A kind of pulse, flat and black in colour","","15"
"Bharuwáṇu","v.a. se.","","To be filled","f. -í, pl. -é","15"
"Bhásh or bhákh","n.f.","S. Bháshá","Language, a dialect","Pahárı bhásh bi jáṇai? 'Do you know the Pahari language?'","15"
"Bhásh","n.m.","","The lungs","","15"
"Bhasmá","n.m.","S. bhasman","Ashes","","15"
"Bháṭ","n.m.","S. Bhaṭṭa","A term for a Brahman","","15"
"Bhá't","n.m.","S. Bhakta","Boiled rice","","15"
"Bhaṭáňgrú","n.m.","","One who manages corvée or begar (Keonthal)","","15"
"Bhátí","n.f.","","A ceremony at which Brahmans are fed","","15"
"Bháṭh","n.f.","","A feast given to all the kith and kin in order to regain one's caste; after one's being out of caste by doing something wrong.","","15"
"Bhaṭṭe","n.m. pl.","H. bhaṭṭá","Brinjals","","15"
"Bháṭú","n.m.","","A Brahman's son whose duty it is to serve at the time of worship","","15"
"Bháu","n.m.","","A chief's son; A polite term used in addressing any boy of good birth.","","15"
"Bháuṇ","n.m.","S. Bhavana","A temple","","15"
"Bháuṇ","n.m.","","A thought, a supposition","Bhauṇá, ní áwṇá. 'I suppose he won't come.'","15"
"Bháw","n.m.","H. bháw","A rate","","15"
"Bhaňḍár","n.m.","","A granary, a store-house","","15"
"Bhaňḍárí","n.m.","","One in charge of a granary, a store-keeper","","15"
"Bheḍ","n.m.","","A sheep","f. -í, pl. -o","15"
"Bhekal","n.m.","","A kind of plant with sharp thorns","pl. -e","16"
"Bhet","n.m.","H. bhed","A secret","","16"
"Bheṭ","n.f.","","(1) A present offered to a deity. (2) An offering. (3) A benevolence made in cash by officials and by landholders in land to the Ráná at the Diwálí festival (Kuṭhár). (4) An offering made on appointment to office by a mahar (Biláspur).","","16"
"Bheṭá","n.f.","","A present made to a deity or ruler","-deṇí, v.t. re. To give or offer a present","see the preceding","16"
"Bheṭṇu","v.t. re.","","To visit, to meet, to call on","f. -í, pl. -é","16"
"Bheṭú","n.m.","H. bhetí","One who knows secrets","-karṇá, v.t. ir. To introduce, to acquaint","16"
"Bhijṇu","v.i. re.","","To be wet","","16"
"Bhíkh","n.f.","S. Bhikshá","Alms","-deṇí, v.t. re. To give alms","16"
"Bhiṛṇu","v.t. re.","","To fight, to struggle","","16"
"Bhít","n.f.","S. Bhitti","A wall","","16"
"Bhíṭhká or -ú","adj.","","Inside","m.; f. -í, pl. -é","16"
"Bhíṭhlá or -u","adj.","","Of the inside, inner","m.; f. -í, pl. -é","16"
"Bhlásṭhá","n.m.","","The main beam of a roof","","16"
"Bhlekhá","n.m.","H. bhulekhá","A mistake, an oversight","","16"
"Bhofar","n.m.","","Shoulder","pl. -o","16"
"Bhog","n.m.","S. Bhoga","An offering","-láṇá, v.i. re. To offer cooked food to a deity","16"
"Bhoglú","n.m.","","See Bihan","","16"
"Bhój","n.m.","","(1) A feast. (2) Birch. (3) Picnic","-pattar, n.m. Birch-bark","16"
"Bholá or -u","adj.","","Simple-minded","m.; f. -í, pl. -é","16"
"Bhóňr","n.m.","S. bhramara","A black bee","f. -í, pl. -o","16"
"Bhóňru","n.m.","","A song, a couplet; poetry","Kúje rú julrú, thoro rú bhunchu, Bhúje ní jámdú ní hundú mano rú sunchú. 'The wild white rose is sucked by a black bee, toasted grain never grows, nor is a desired object gained.'","16"
"Bhóňru (cont.)","n.m.","","A song, a couplet; poetry","Siti húňḍoli harṇo, bikro de moro, Mánu dekhe mukhṭe, terá laṭkú horo. 'Deer will walk, and peafowl too, I've seen a good many men, but your gait is of another kind.'","16"
"Bhonṭhá or -í","n.m.","","A sept of Kanets in Kamlí parganá and elsewhere in these hills","pl. -e","16"
"Bhosé","n.m. pl.","","Roasted green wheat or gram","","16"
"Bhraňgrṇu","v.i. re.","","To roar like a panther","","16"
"Bhryuňsh","n.f. pl.","","Eyebrows","","16"
"Bhú","n.m.","H. bhús","Fodder","","16"
"Bhubhal","n.m.","","A fire of hot ashes to fry potatoes and other roots","","17"
"Bhubṛí","n.f.","","Mouth","","17"
"Bhuiň","n.f.","S. Bhúmi","Earth, land","-ú, n.m. A store house","17"
"Bhujṇu","v.t. re.","","To roast, to fry","f. -í, pl. -é","17"
"Bhukh","n.f.","S. Bubhukshá","Hunger, appetite","","17"
"Bhukhe-rauṇu","v.i. ir.","","To remain hungry","","17"
"Bhúl","n.f.","H. bhúl","A mistake, forgetfulness","","17"
"Bhulká","n.m.","","Vegetables","-cháṇṇu, v.a. re. To cook vegetables","17"
"Bhulṇu","v.t. re.","","To forget","f. -í, pl. -é","17"
"Bhuňchu","adj.","","Sucked, or licked","","17"
"Bhuňḍú","n.m.","","A fool, an ignorant man","","17"
"Bhú-ro-parál","adj.","","Good for nothing","","17"
"Bhyaiṇi","n.f.","","Daybreak","","17"
"Bhyáň-rí","n.f.","","Daybreak","-e, At daybreak","17"
"Bhyáňsaí","n.f.","","Morning, dawn","-í, adv. This morning","17"
"Bhyáss","n.m.","S. Abhyása","Practice, exercise","","17"
"Bhyásuwṇu","v.i. re.","","To be accustomed, to be in practice","f. -í, pl. -é","17"
"Bhyóuṇu","v.t. re.","","To make or cause to be wet","f. -í, pl. -é","17"
"Bí","n.f.","","The verandah of a house","Also ṭóng","17"
"Bí","adj.","S. Viňshati","20","-wáň, 20th","17"
"Bi","adv.","","Also, too","Sé bi áwṇá thíá. 'He too was to come.'","17"
"Bí","adv.","","(1) Also, even. (2) As well as.","Proverb: Ṭaké ri bí, Chajau ri bí. 'Of six pies, yet beautiful.'","17"
"Biáh","n.m.","","See Byá or Byáh","","17"
"Bich","n.f.","","A crack; adv. Middle; n. Centre","","17"
"Bichá-bichí","adv.","","Through or by the middle","","17"
"Bidáṇá","n.m.","","Quinces","","17"
"Bidhṇí","v.v. re.","","To be extinguished","","17"
"Bidhṇu","v.i. re.","","To be extinguished","","17"
"Bigai","n.f.","","A tax levied per bighá (Kuṭhár)","","17"
"Bighé","adv.","","In the fields","","17"
"Bihan","n.m.","","Coriandrum sativum","Also básháň","17"
"Bíj","n.m.","S. Vīja; S. vajra","(1) Seeds. (2) Thunder","-galṇu, v.s. re. To be no more","17"
"Bijaurí","n.f.","S. Vījapura","A kind of citron","","17"
"Bijaňdrí","n.f.","","A furrow left unsown in a field","","17"
"Bijlí","n.f.","S. Vidyut","Lightning","","17"
"Bijṇu","v.t. re.","","To sow","f. -í, pl. -é","17"
"Bikar, bikr","n.f.","","The lower part of a field","","17"
"Bikh","n.m.","S. Viṣha","(1) Poison; (2) Difficult, dangerous (way)","-ṛu or -ṛá, adj. m.; f. -í, pl. -é","17"
"Bíkh","n.f.","","A step, a footstep","-deṇí, v.i. re. To tread","17"
"Bil","n.f.","","A hole, chasm, a crack","-parṇí, v.s. re. To form a crack. -patrí, n.f. Leaves of the bel tree.","17"
"Bilkhṇu","v.t. re.","","To scream, to cry","","18"
"Biná-bajaur","adj.","","Without wages","","18"
"Bináyak","n.m.","S. Vināyaka","The deity Ganesh","","18"
"Biṇḍí","n.f.","","A plant called gulmaňhdí in Hindí","","18"
"Biňhú","n.m.","S. Vṛishchika; H. bichchhú","A scorpion","","18"
"Biňḍ","n.m.","","A handle of a sickle or a hoe","-láṇá, v.i. re. To fix a handle","18"
"Biňḍá","n.m.","","A truss (of hay)","","18"
"Biňḍkú","n.m.","","A big grass bundle","pl. -é. f. -í, A small grass-bundle. (Also pulá and pulí.)","18"
"Biňḍlú-tárá","n.m.","","The morning star","","18"
"Biňgú","","","See Bángá","","18"
"Biņí","adv.","H. biná","Without","","18"
